a,b,c
352,18,851
800,26,387
432,37,681
869,54,895
129,91,463
353,11,545
910,57,24
771,76,451
228,48,631
440,73,813
499,97,476
123,31,120
498,33,811
883,51,600
252,92,689
561,77,578
329,69,125
472,39,270
703,71,953
559,1,240
993,13,55
301,45,593
566,44,326
284,13,559
142,18,55
445,93,5
844,10,163
54,77,589
973,43,660
828,11,680
546,27,793
948,34,152
702,11,18
138,62,462
234,31,971
921,76,252
961,74,710
987,49,425
94,5,698
993,90,295
375,31,134
158,74,688
1,55,745
993,29,884
84,77,526
40,71,241
48,53,621
801,27,703
1000,83,928
337,92,183
499,59,460
947,41,854
836,79,748
512,14,304
368,15,673
212,100,137
272,76,102
894,42,764
150,2,517
262,81,763
195,50,868
756,3,277
245,83,693
959,87,308
112,87,302
825,92,752
756,2,288
792,21,181
193,97,920
107,76,713
951,75,85
833,36,859
805,18,581
255,43,779
796,10,777
563,53,792
138,1,353
900,11,456
856,36,502
291,87,327
807,32,625
656,6,855
60,33,788
659,4,490
870,19,776
54,91,198
414,75,768
942,14,321
620,36,792
749,84,369
180,14,452
899,40,56
576,23,106
362,97,943
989,45,244
565,21,254
789,65,48
875,69,673
918,66,267
145,40,525
478,93,273
42,21,865
521,20,143
785,100,239
926,93,689
325,14,203
381,82,766
35,26,564
416,9,101
532,17,483
807,46,95
910,64,912
36,7,516
662,21,596
714,96,342
376,4,41
34,20,531
431,28,44
974,64,243
979,37,24
329,82,282
369,77,216
69,94,255
28,8,212
952,44,470
166,77,782
587,23,217
181,42,319
387,50,973
440,21,179
588,32,761
362,72,686
778,75,31
499,36,822
771,2,104
79,37,180
706,48,353
772,12,546
86,51,917
641,69,507
360,45,195
420,50,801
416,98,695
714,24,247
944,35,35
809,98,833
959,75,63
148,25,605
547,56,613
507,96,961
487,14,207
634,83,105
23,71,43
418,25,135
568,98,247
892,27,295
867,1,577
873,47,426
421,16,220
526,53,636
316,17,446
573,67,13
192,99,99
526,71,76
423,21,925
363,83,949
583,23,28
682,92,702
258,25,366
773,90,101
981,14,59
28,72,424
848,99,737
160,91,521
580,96,438
828,96,930
217,58,400
592,55,771
961,11,536
671,17,773
701,71,361
481,8,122
693,66,63
432,96,919
920,8,523
826,72,976
102,64,710
399,53,899
495,51,831
550,25,912
66,72,199
201,38,739
929,18,13
766,30,852
539,72,250
403,42,200
813,3,488
988,53,21
457,34,603
557,30,430
46,81,681
396,79,932
886,98,599
9,68,402
141,64,24
559,68,508
46,17,453
884,93,103
26,95,535
672,49,134
889,10,314
512,27,29
