a,b,c
203,78,247
420,91,917
609,41,131
744,5,586
821,42,438
610,71,790
41,86,21
183,51,114
680,94,256
982,88,356
967,52,459
666,78,447
15,34,19
215,34,728
490,5,678
806,64,226
63,60,73
34,23,307
88,78,683
785,46,252
305,46,352
357,71,693
60,75,285
262,53,444
383,61,989
311,97,947
622,24,802
63,93,508
438,95,537
433,100,511
287,57,544
600,86,716
663,26,512
368,97,468
146,1,896
172,95,512
133,55,612
725,79,221
328,71,505
533,24,397
726,48,101
573,60,239
167,63,901
793,44,847
360,85,996
213,58,183
455,14,33
939,80,384
728,85,222
518,7,815
59,5,151
680,65,344
482,63,774
358,52,107
93,2,664
237,27,305
812,23,333
427,25,813
659,99,375
112,74,606
883,77,133
37,100,79
987,75,829
437,81,217
812,53,780
19,64,938
187,66,976
225,44,560
300,22,997
978,87,430
618,71,9
595,26,928
697,77,554
569,86,234
438,64,674
113,88,228
322,84,26
810,63,209
131,94,248
598,80,763
627,41,948
210,94,927
118,99,231
773,68,221
65,28,93
309,84,941
254,3,311
132,9,767
563,30,502
772,64,344
278,14,190
938,31,997
272,54,485
469,68,811
101,43,298
497,44,660
185,83,946
687,95,900
305,16,794
970,44,20
493,88,58
845,1,974
470,88,655
354,46,988
866,40,395
685,69,288
108,69,432
467,77,862
411,83,325
263,5,709
953,2,599
131,72,144
417,3,706
520,68,74
146,63,763
197,19,420
402,3,880
261,20,787
308,36,999
280,88,437
193,18,584
254,6,239
412,33,864
90,27,260
591,68,970
934,97,262
454,76,128
905,92,791
809,49,459
409,79,732
596,4,291
492,95,673
176,57,581
623,69,830
800,55,304
209,29,677
355,62,489
882,98,568
29,91,715
831,48,445
509,49,499
424,29,738
849,93,605
444,40,758
182,24,476
911,55,33
238,80,633
976,76,956
431,72,80
671,45,176
463,63,781
523,27,787
294,10,465
213,98,133
316,63,88
409,70,719
382,34,604
4,89,658
527,94,90
140,63,983
40,57,803
723,58,699
25,38,630
38,84,337
711,12,931
22,4,127
865,39,988
317,41,777
441,65,489
183,96,921
895,61,374
477,57,320
108,33,615
368,23,582
267,12,584
377,53,993
111,52,234
617,78,609
879,54,599
878,62,536
843,9,965
174,57,191
906,13,917
370,77,873
349,31,248
403,98,603
271,3,301
832,64,204
184,44,516
413,16,153
647,94,829
996,30,8
731,29,811
442,62,849
514,5,186
408,62,244
604,73,650
352,54,668
624,29,7
931,81,927
43,52,517
511,50,844
899,20,429
692,16,984
794,24,226
676,88,226
663,13,3
832,76,979
31,45,867
206,76,791
349,54,999
199,47,643
469,57,919
612,63,604
32,67,775
536,33,428
248,77,604
781,34,493
201,43,994
183,8,733
424,87,1000
493,38,797
399,42,677
167,23,432
69,95,470
170,92,292
659,89,997
473,8,433
521,37,851
829,58,262
825,39,560
590,35,505
820,81,142
148,99,891
848,32,497
776,3,721
177,83,269
442,2,854
484,96,925
592,33,649
825,9,403
119,85,32
569,22,497
593,41,259
401,25,668
547,73,893
313,32,215
614,8,809
228,78,653
237,74,337
630,1,471
414,36,222
791,71,578
168,53,565
350,68,516
72,14,385
876,92,141
682,32,780
731,86,602
225,30,36
833,96,99
302,88,60
850,22,934
267,96,2
693,19,982
516,65,712
266,78,154
251,50,345
670,32,264
436,78,87
434,57,33
986,67,453
168,44,749
418,5,781
282,97,209
910,79,53
596,92,931
844,80,595
757,57,231
471,6,720
692,69,432
841,1,523
286,4,72
450,34,871
667,78,183
247,39,322
466,65,846
790,57,424
298,86,785
446,24,165
369,6,772
189,96,676
582,37,185
699,5,91
296,9,574
450,97,409
851,16,82
671,25,311
300,78,746
298,14,106
218,16,77
96,77,72
719,7,965
581,100,383
959,74,10
802,31,15
15,65,555
26,82,416
454,90,999
442,22,538
983,13,904
550,30,17
380,80,205
523,13,364
613,42,92
64,65,347
470,18,693
472,11,230
839,11,236
